run_id,run_type,status,scope,objective_role,date_registered,data_window,universe_name,cov_estimator,strategies,main_params,solver_profile,result_path,eligible_for_main_text,notes
toy__smoke__toyA__20260419__01,toy,success,drdb,development,2026-04-21,toyA,Toy-A,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__smoke__toyA__20260419__01,False,Toy smoke test.
toy__drdb__toyA__20260419__01,toy,success,drdb,development,2026-04-21,toyA,Toy-A,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__drdb__toyA__20260419__01,False,Toy-A diagonal equal vol.
toy__drdb__toyB__20260419__01,toy,success,drdb,development,2026-04-21,toyB,Toy-B,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__drdb__toyB__20260419__01,False,Toy-B diagonal unequal vol.
toy__drdb__toyC__20260419__01,toy,success,drdb,development,2026-04-21,toyC,Toy-C,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.025, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 120.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__drdb__toyC__20260419__01,False,Toy-C equicorrelation.
toy__drdb__toyD__20260419__01,toy,success,drdb,development,2026-04-21,toyD,Toy-D,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.03, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 150.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__drdb__toyD__20260419__01,False,Toy-D block correlation.
toy__solver__toyE__20260419__01,toy,success,solver,development,2026-04-21,toyE,Toy-E,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 200.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__solver__toyE__20260419__01,False,Toy-E near collinear stress.
toy__band__toyF__20260419__01,toy,success,band,development,2026-04-21,toyF,Toy-F,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.01, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 200.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__band__toyF__20260419__01,False,Toy-F band activation.
toy__smooth__toyG__20260419__01,toy,success,smooth,development,2026-04-21,toyG,Toy-G,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.1, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__smooth__toyG__20260419__01,False,Toy-G smoothing test.
minimal_real__main__trainval__20260419__01,minimal_real,success,main,development,2026-04-21,trainval,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.02, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\minimal_real__main__trainval__20260419__01,False,Minimal real ETF run.
calibration__main__val__20260419__01__d01,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.01, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d01,False,Calibration base run.
calibration__main__val__20260419__01__d02,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.01, ""eta"": 0.01, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d02,False,Calibration base run.
calibration__main__val__20260419__01__d03,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.01, ""eta"": 0.02, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d03,False,Calibration base run.
calibration__main__val__20260419__01__d04,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.01, ""eta"": 0.05, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d04,False,Calibration base run.
calibration__main__val__20260419__01__d05,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d05,False,Calibration base run.
calibration__main__val__20260419__01__d06,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.01, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d06,False,Calibration base run.
calibration__main__val__20260419__01__d07,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.02, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d07,False,Calibration base run.
calibration__main__val__20260419__01__d08,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.05, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d08,False,Calibration base run.
calibration__main__val__20260419__01__d09,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.03, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d09,False,Calibration base run.
calibration__main__val__20260419__01__d10,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.03, ""eta"": 0.01, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d10,False,Calibration base run.
calibration__main__val__20260419__01__d11,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.03, ""eta"": 0.02, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d11,False,Calibration base run.
calibration__main__val__20260419__01__d12,minimal_real,success,calibration,screening,2026-04-21,val,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.03, ""eta"": 0.05, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\calibration__main__val__20260419__01__d12,False,Calibration base run.
full__main__test__20260419__01,full,success,main,primary_evidence,2026-04-21,test,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.05, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\full__main__test__20260419__01,True,Full test window run.
full__robust__d04__20260419__01,full,success,robustness,robustness_evidence,2026-04-21,test,core10_etf,ledoit_wolf_252d,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.01, ""eta"": 0.05, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\full__robust__d04__20260419__01,False,Full test robustness run for strict-band backup parameter d04.
toy__smoke__toyA__20260419__01,toy,success,drdb,development,2026-04-21,toyA,Toy-A,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__smoke__toyA__20260419__01,False,Toy smoke test.
toy__drdb__toyA__20260419__01,toy,success,drdb,development,2026-04-21,toyA,Toy-A,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__drdb__toyA__20260419__01,False,Toy-A diagonal equal vol.
toy__drdb__toyB__20260419__01,toy,success,drdb,development,2026-04-21,toyB,Toy-B,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__drdb__toyB__20260419__01,False,Toy-B diagonal unequal vol.
toy__drdb__toyC__20260419__01,toy,success,drdb,development,2026-04-21,toyC,Toy-C,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.025, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 120.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__drdb__toyC__20260419__01,False,Toy-C equicorrelation.
toy__drdb__toyD__20260419__01,toy,success,drdb,development,2026-04-21,toyD,Toy-D,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.03, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 150.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__drdb__toyD__20260419__01,False,Toy-D block correlation.
toy__solver__toyE__20260419__01,toy,success,solver,development,2026-04-21,toyE,Toy-E,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 200.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__solver__toyE__20260419__01,False,Toy-E near collinear stress.
toy__band__toyF__20260419__01,toy,success,band,development,2026-04-21,toyF,Toy-F,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.01, ""eta"": 0.0, ""gamma"": 0.001, ""rho"": 200.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__band__toyF__20260419__01,False,Toy-F band activation.
toy__smooth__toyG__20260419__01,toy,success,smooth,development,2026-04-21,toyG,Toy-G,toy_fixed_sigma,"EW,GMV,CtR-only,MDP,CtB-only,Main","{""delta"": 0.02, ""eta"": 0.1, ""gamma"": 0.001, ""rho"": 100.0}",default_pg_newton,C:\Portfolio05\results\runs\toy__smooth__toyG__20260419__01,False,Toy-G smoothing test.
